postalCode,locality,settlementType,municipality,state,stateCode,municipalityCode,postalOfficeCode,zone,shippingCost
45350,El Arenal,Pueblo,El Arenal,Jalisco,14,9,45351,Rural,140
45353,Santa Sofía Hacienda Country Club,Fraccionamiento,El Arenal,Jalisco,14,9,45351,Rural,140
45355,La Cima,Fraccionamiento,El Arenal,Jalisco,14,9,45351,Urbano,140
45359,Santa Quitería,Ranchería,El Arenal,Jalisco,14,9,45351,Rural,140
45360,Huertas el Zamorano,Fraccionamiento,El Arenal,Jalisco,14,9,45351,Rural,140
45360,Santa Cruz del Astillero,Pueblo,El Arenal,Jalisco,14,9,45351,Rural,140
45364,Emiliano Zapata,Ejido,El Arenal,Jalisco,14,9,45351,Rural,140
45368,Cuisillos (Huaxtla de Orendain),Colonia,El Arenal,Jalisco,14,9,45351,Rural,140
45368,Haciendas de Huaxtla,Fraccionamiento,El Arenal,Jalisco,14,9,45351,Rural,140
45368,Huaxtla,Colonia,El Arenal,Jalisco,14,9,45351,Rural,140
45380,Las Norias,Colonia,Amatitán,Jalisco,14,5,46471,Urbano,120
45380,El Monte,Colonia,Amatitán,Jalisco,14,5,46471,Urbano,120
45380,Lomas de la Cruz,Colonia,Amatitán,Jalisco,14,5,46471,Urbano,120
45380,La Cantera,Colonia,Amatitán,Jalisco,14,5,46471,Rural,120
45380,Hacienda San José del Refugio,Colonia,Amatitán,Jalisco,14,5,46471,Urbano,120
45380,La Orillita,Colonia,Amatitán,Jalisco,14,5,46471,Urbano,120
45380,La Bolsa,Colonia,Amatitán,Jalisco,14,5,46471,Urbano,120
45380,5 de Mayo,Colonia,Amatitán,Jalisco,14,5,46471,Urbano,120
45380,El Cerrito,Colonia,Amatitán,Jalisco,14,5,46471,Urbano,120
45380,La Loma,Colonia,Amatitán,Jalisco,14,5,46471,Urbano,120
45380,Amatitán,Pueblo,Amatitán,Jalisco,14,5,46471,Rural,120
45380,Santiaguito,Pueblo,Amatitán,Jalisco,14,5,46471,Rural,120
45380,Don Bosco,Fraccionamiento,Amatitán,Jalisco,14,5,46471,Rural,120
45380,Vivienda Popular,Colonia,Amatitán,Jalisco,14,5,46471,Urbano,120
45380,Venaderos las Norias,Fraccionamiento,Amatitán,Jalisco,14,5,46471,Rural,120
45380,Ejidal,Colonia,Amatitán,Jalisco,14,5,46471,Urbano,120
45380,Godoy,Colonia,Amatitán,Jalisco,14,5,46471,Rural,120
45380,Obrera Heliodoro Hernández Loza,Colonia,Amatitán,Jalisco,14,5,46471,Rural,120
45380,Jardines de La Cruz,Colonia,Amatitán,Jalisco,14,5,46471,Rural,120
45380,Puerta Del Sol,Colonia,Amatitán,Jalisco,14,5,46471,Rural,120
45390,Tepetates,Ranchería,Amatitán,Jalisco,14,5,46471,Rural,120
45390,La Villa de Cuerámbaro,Colonia,Amatitán,Jalisco,14,5,46471,Rural,120
45398,Chome (Achío),Ranchería,Amatitán,Jalisco,14,5,46471,Rural,120
45398,La Mata,Ranchería,Amatitán,Jalisco,14,5,46471,Rural,120
45398,La Conchilla,Ranchería,Amatitán,Jalisco,14,5,46471,Rural,120
45398,El Cerrito,Ranchería,Amatitán,Jalisco,14,5,46471,Rural,120
45399,Agua Fría,Ranchería,Amatitán,Jalisco,14,5,46471,Rural,120
46400,Tequila Centro,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46400,El Ranchito,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46402,IPROVIPE I (El Camichín),Fraccionamiento,Tequila,Jalisco,14,94,46401,Urbano,100
46402,Mayahuel,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46402,Josefa Ortiz de Domínguez,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46402,La Escondida,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46402,El Cerrito,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46402,Obrera,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46402,Pino Suárez,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46402,INFONAVIT,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46402,Potrero de la Mula (Luis Donaldo Colosio),Colonia,Tequila,Jalisco,14,94,46401,Rural,100
46403,Miguel de la Madrid,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46403,Colinas del Rosario,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46403,La Estación,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46403,Cofradía,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46403,Ojo de Agua,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46403,El Maluaste,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46403,El Rosario,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46403,La Mezcalera,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46403,Lomas del Paraíso,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46403,El Tezcalame,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46403,Santa Cruz de los Espinos,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46403,Sauza,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46404,La Villita,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46404,Chulavista,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46404,Ex Hacienda de Abajo,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46404,El Trapiche,Colonia,Tequila,Jalisco,14,94,46401,Urbano,100
46405,Potrero de los Rivera,Ranchería,Tequila,Jalisco,14,94,46401,Rural,100
46407,Santa Ana (Las Ánimas),Colonia,Tequila,Jalisco,14,94,46401,Rural,100
46407,El Medineño,Ejido,Tequila,Jalisco,14,94,46401,Rural,100
46407,La Noria,Ranchería,Tequila,Jalisco,14,94,46401,Rural,100
46408,El Olvido,Ranchería,Tequila,Jalisco,14,94,46401,Rural,100
46408,El Salvador,Pueblo,Tequila,Jalisco,14,94,46401,Rural,100
46409,La Puerta de San Pedro (La Puerta de Enmedio),Colonia,Tequila,Jalisco,14,94,46401,Rural,100
46409,San Martin de las Cañas,Ejido,Tequila,Jalisco,14,94,46401,Rural,100
46409,Santa Teresa,Ejido,Tequila,Jalisco,14,94,46401,Rural,100
46409,Tapexco,Ranchería,Tequila,Jalisco,14,94,46401,Rural,100
46420,Jalpilla,Ranchería,Tequila,Jalisco,14,94,46401,Rural,100
46420,Santo Domingo,Ranchería,Tequila,Jalisco,14,94,46401,Rural,100
46430,San Pedro Analco,Pueblo,Tequila,Jalisco,14,94,46401,Rural,100
46433,Tuitan,Ejido,Tequila,Jalisco,14,94,46401,Rural,100
46470,Magdalena Centro,Colonia,Magdalena,Jalisco,14,55,46471,Urbano,140
46472,Los Fresnos,Colonia,Magdalena,Jalisco,14,55,46471,Urbano,140
46472,Lindavista,Colonia,Magdalena,Jalisco,14,55,46471,Urbano,140
46472,Nueva Xochiltepec,Colonia,Magdalena,Jalisco,14,55,46471,Urbano,140
46472,Miguel Hidalgo,Colonia,Magdalena,Jalisco,14,55,46471,Urbano,140
46473,Rinconada Casa Blanca,Fraccionamiento,Magdalena,Jalisco,14,55,46471,Urbano,140
46473,La Nogalera,Colonia,Magdalena,Jalisco,14,55,46471,Urbano,140
46473,Los Espinos,Colonia,Magdalena,Jalisco,14,55,46471,Urbano,140
46473,La Cañita,Colonia,Magdalena,Jalisco,14,55,46471,Urbano,140
46474,Cerrito,Colonia,Magdalena,Jalisco,14,55,46471,Urbano,140
46474,Estación,Colonia,Magdalena,Jalisco,14,55,46471,Urbano,140
46474,Caballito,Colonia,Magdalena,Jalisco,14,55,46471,Urbano,140
46474,Las Matas,Colonia,Magdalena,Jalisco,14,55,46471,Rural,140
46474,Santuario,Colonia,Magdalena,Jalisco,14,55,46471,Urbano,140
46475,San Andrés,Ejido,Magdalena,Jalisco,14,55,46471,Rural,140
46476,Lo de Guevara (La Loma),Colonia,Magdalena,Jalisco,14,55,46471,Urbano,140
46480,La Quemada,Ranchería,Magdalena,Jalisco,14,55,46471,Rural,140
46488,Ojo Zarco,Ranchería,Magdalena,Jalisco,14,55,46471,Rural,140
46489,Santa María,Ranchería,Magdalena,Jalisco,14,55,46471,Rural,140
46489,San Simón,Ranchería,Magdalena,Jalisco,14,55,46471,Rural,140
46490,La Joya,Ejido,Magdalena,Jalisco,14,55,46471,Rural,140
46495,Huizizilapan,Hacienda,Magdalena,Jalisco,14,55,46471,Rural,140
